alternative design flag set to: false
ws1 done making product #130 in 12.222152141s
ws1 done making product #131 in 11.098107055s
ws1 done making product #132 in 7.528114303s
ws1 done making product #133 in 10.127085818s
ws1 done making product #134 in 9.779992085s
ws1 done making product #135 in 23.178115009s
ws1 done making product #136 in 9.763063976s
ws1 done making product #137 in 2.188112721s
ws1 done making product #138 in 11.634043716s
ws1 done making product #139 in 7.085996303s
ws1 done making product #140 in 8.594089501s
ws1 done making product #141 in 9.995011843s
ws1 done making product #142 in 11.584067794s
ws1 done making product #143 in 7.715077858s
ws1 done making product #144 in 11.096050277s
ws1 done making product #145 in 11.192006309s
ws1 done making product #146 in 13.971064395s
ws1 done making product #147 in 4.428012656s
ws1 done making product #148 in 9.283064028s
ws1 done making product #149 in 11.735061349s
ws1 done making product #150 in 10.487001038s
ws1 done making product #151 in 23.577017371s
ws1 done making product #152 in 69.116492ms
ws1 done making product #153 in 6.448090465s
ws1 done making product #154 in 10.840013588s
ws1 done making product #155 in 8.184011394s
ws1 done making product #156 in 20.95505607s
ws1 done making product #157 in 6.780137298s
ws1 done making product #158 in 4.386990725s
ws1 done making product #159 in 9.282087399s
ws1 done making product #160 in 15.87207229s
ws1 done making product #161 in 4.260096877s
ws1 done making product #162 in 14.460010853s
ws1 done making product #163 in 15.343067463s
ws1 done making product #164 in 16.168117612s
ws1 done making product #165 in 4.239095495s
ws1 done making product #166 in 1.320116313s
ws1 done making product #167 in 31.803791806s
ws1 done making product #168 in 3.214076978s
ws1 done making product #169 in 5.327147335s
ws1 done making product #170 in 11.626107918s
ws1 done making product #171 in 10.770028829s
ws1 done making product #172 in 12.312121396s
ws1 done making product #173 in 5.591989995s
ws1 done making product #174 in 12.056156485s
ws1 done making product #175 in 15.862168139s
ws1 done making product #176 in 5.114009133s
ws1 done making product #177 in 7.558083712s
ws1 done making product #178 in 10.749150445s
ws1 done making product #179 in 18.50209959s
ws1 done making product #180 in 4.651011302s
ws1 done making product #181 in 6.553097972s
ws1 done making product #182 in 13.976079599s
ws1 done making product #183 in 10.040143865s
ws1 done making product #184 in 6.733040415s
ws1 done making product #185 in 10.660014488s
ws1 done making product #186 in 10.400174553s
ws1 done making product #187 in 13.569028876s
ws1 done making product #188 in 9.586130787s
ws1 done making product #189 in 6.276083396s
ws1 done making product #190 in 11.319089353s
ws1 done making product #191 in 11.32808124s
ws1 done making product #192 in 7.940096064s
ws1 done making product #193 in 16.164100044s
ws1 done making product #194 in 4.725082848s
ws1 done making product #195 in 15.652105368s
ws1 done making product #196 in 10.98611447s
ws1 done making product #197 in 3.633099737s
ws1 done making product #198 in 19.792060687s
ws1 done making product #199 in 3.319114839s
ws1 done making product #200 in 7.209070236s
ws1 done making product #201 in 12.298118164s
ws1 done making product #202 in 9.693064851s
ws1 done making product #203 in 12.120109752s
ws1 done making product #204 in 11.563003161s
ws1 done making product #205 in 6.384121179s
ws1 done making product #206 in 8.5861077s
ws1 done making product #207 in 10.015112579s
ws1 done making product #208 in 14.073078611s
ws1 done making product #209 in 16.594056919s
ws1 done making product #210 in 8.888102828s
ws1 done making product #211 in 2.389028691s
ws1 done making product #212 in 10.458071889s
ws1 done making product #213 in 10.738104928s
ws1 done making product #214 in 9.0020819s
ws1 done making product #215 in 11.14913322s
ws1 done making product #216 in 8.433103367s
ws1 done making product #217 in 11.347098503s
ws1 done making product #218 in 10.291031859s
ws1 done making product #219 in 11.933036541s
ws1 done making product #220 in 11.573132491s
ws1 done making product #221 in 6.079074029s
ws1 done making product #222 in 18.366118243s
ws1 done making product #223 in 1.674101869s
ws1 done making product #224 in 14.695067063s
ws1 done making product #225 in 9.751107641s
ws1 done making product #226 in 18.124051254s
ws1 done making product #227 in 1.893068321s
ws1 done making product #228 in 8.895131203s
ws1 done making product #229 in 7.452096411s
ws1 done making product #230 in 16.172119758s
ws1 done making product #231 in 14.043108828s
ws1 done making product #232 in 26.340154618s
ws1 done making product #233 in 197.152721ms
ws1 done making product #234 in 13.129950343s
ws1 done making product #235 in 4.039112124s
ws1 done making product #236 in 8.88798537s
ws1 done making product #237 in 22.978035038s
ws1 done making product #238 in 1.396115782s
ws1 done making product #239 in 5.500051795s
ws1 done making product #240 in 14.803111216s
ws1 done making product #241 in 6.273002509s
ws1 done making product #242 in 8.477036071s
ws1 done making product #243 in 11.159117129s
ws1 done making product #244 in 11.704026454s
ws1 done making product #245 in 16.033027004s
ws1 done making product #246 in 1.706073734s
ws1 done making product #247 in 9.797089231s
ws1 done making product #248 in 12.022083049s
ws1 done making product #249 in 15.008056275s
ws1 done making product #250 in 17.144036833s
ws1 done making product #251 in 1.632118255s
ws1 done making product #252 in 8.734941843s
ws1 done making product #253 in 35.350147573s
ws3 done making product #1 in 44m5.169046773s
ws1 done making product #254 in 21.555176631s
ws1 done making product #255 in 587.189337ms
ws3 done making product #2 in 9.536281491s
ws3 done making product #3 in 2.397336802s
ws1 done making product #256 in 10.232613835s
ws2 done making product #2 in 30m30.81370049s
ws1 done making product #257 in 10.522410522s
ws1 done making product #258 in 21.699313823s
ws1 done making product #259 in 3.013385152s
ws1 done making product #260 in 5.197594909s
ws1 done making product #261 in 11.228442657s
ws1 done making product #262 in 9.932379404s
ws1 done making product #263 in 13.354957077s
ws1 done making product #264 in 7.245395353s
ws1 done making product #265 in 8.466515552s
ws1 done making product #266 in 22.75201734s
ws1 done making product #267 in 497.17917ms
ws2 done making product #3 in 1m50.860483189s
ws1 done making product #268 in 8.851554905s
ws1 done making product #269 in 10.550099459s
ws1 done making product #270 in 14.250181477s
ws1 done making product #271 in 4.635383011s
ws1 done making product #272 in 24.594946756s
ws1 done making product #273 in 486.168465ms
ws1 done making product #274 in 8.021099019s
ws1 done making product #275 in 8.932061982s
ws1 done making product #276 in 9.991503416s
ws1 done making product #277 in 22.697195755s
ws1 done making product #278 in 7.875394481s
ws1 done making product #279 in 1.634232612s
ws1 done making product #280 in 11.994584337s
ws1 done making product #281 in 15.787013285s
ws1 done making product #282 in 3.363153722s
ws1 done making product #283 in 10.063139361s
ws1 done making product #284 in 9.328119142s
ws1 done making product #285 in 14.039448305s
ws1 done making product #286 in 3.227981657s
ws1 done making product #287 in 12.85155762s
ws1 done making product #288 in 9.244084629s
ws1 done making product #289 in 10.471084105s
ws1 done making product #290 in 25.180027956s
ws1 done making product #291 in 6.738065527s
